number;block;parking_lots;bikes_parking;storage;coefficient
101;1;;;;0.5104
102;1;99-100;;32;0.5286
103;1;532-533;;79;0.5909
104;1;886-887;;112;0.701
105;1;474-475;;66;0.668
106;1;;;;0.4308
201;1;458;;62;0.3022
202;1;101-102;;14;0.5408
203;1;496-497;;57;0.5396
204;1;504;;64;0.2964
205;1;534-535;;83;0.5909
206;1;103-104;;2;0.7175
207;1;863-864;;98;0.6948
208;1;871;;102;0.4118
301;1;904;;85;0.3001
302;1;51-52;;11;0.5447
303;1;494-495;;58;0.5396
304;1;503;;63;0.2945
305;1;536-537;;84;0.5842
306;1;43-44;;1-mar;0.715
307;1;865-868;;103;0.6948
308;1;870;;101;0.409
401;1;901;;92;0.3023
402;1;49-50;;40;0.5481
403;1;492-493;;47;0.5364
404;1;502;;120;0.2999
405;1;538-539;;82;0.5928
406;1;23-24;;5-jun;0.7153
407;1;444-445;;116-117;0.7175
408;1;869;;95;0.4156
501;1;;;;0.2982
502;1;47-48;;39;0.548
503;1;490-491;;42;0.5397
504;1;501;;119;0.2994
505;1;459-460;;81;0.5928
506;1;21-22;;13-15;0.7136
507;1;446-447;;99-100;0.7115
508;1;53-54;;20;0.4541
601;1;898;;104;0.2932
602;1;45-46;;38;0.548
603;1;486-487;;41;0.5399
604;1;500;;118;0.3004
605;1;461-462;;86;0.5923
606;1;19-20;;16-17;0.7122
607;1;448-449;;89;0.7165
608;1;57-58;;21;0.4593
701;1;897;;106;0.2987
702;1;26-27;;37;0.5415
703;1;484-485;;36;0.5393
704;1;861;;97;0.3044
705;1;463-464;;73;0.5856
706;1;17-18;;29-30;0.7224
707;1;450-451;;87-88;0.7224
708;1;59-60;;22;0.4529
801;1;896;;107;0.2987
802;1;28-29;;45;0.5483
803;1;482-483;;28;0.5443
804;1;862;;96;0.3016
805;1;465-466;;74;0.59
806;1;15-16;;31;0.7165
807;1;452-453;;78-80;0.7122
808;1;61-62;;23;0.4647
901;1;;;;0.2967
902;1;30-31;;43;0.5455
903;1;480-481;;19;0.5914
904;1;69;;61;0.2999
905;1;467-468;;75;0.59
906;1;13-14;;44-46;0.7115
907;1;454-455;;76-77;0.7136
908;1;63-64;;24;0.4599
1001;1;894;;110;0.2973
1002;1;32-33;;54;0.5407
1003;1;478-479;;53;0.5412
1004;1;68;;60;0.2994
1005;1;476-477;;65;0.587
1006;1;11-dic;;48-49;0.7175
1007;1;456-457;;68-69;0.7153
1008;1;65-66;;7;0.4653
1101;1;443;;115;0.2967
1102;1;34-35;;52;0.5412
1103;1;472-473;;70;0.5443
1104;1;;;;0.3004
1105;1;474-475;;66;0.5857
1106;1;9-oct;;50-51;0.7138
1107;1;540-541;;113-114;0.7101
1108;1;97-98;;26;0.4591
1201;1;;;;0.3026
1202;1;36-37-38;;34;0.9731
1203;1;469-470-471;;67;0.9738
1204;1;;;;0.2976
1205;1;42-105-106;;12;0.937
1206;1;107-108-111-112;;;1.154
1207;1;436-437-440-441;;109-111;1.1578
1208;1;902-903;;25;0.7216
101;3;570-571;;186;0.5398
102;3;;;;0.5472
103;3;641-672;;222;0.6039
104;3;642-643;;223-224;0.7463
105;3;148-149;;156;0.7247
106;3;145;;135;0.3868
201;3;653-654;;175;0.5352
202;3;95-96;;146;0.5327
203;3;152-153;;166;0.5863
204;3;575-576;;192-193;0.7007
205;3;143-144;;134-213;0.7039
206;3;146;;144;0.3987
301;3;505-572;;184;0.5348
302;3;93-94;;;0.5355
303;3;581-582;;217;0.5863
304;3;650-651;;182-183;0.7058
305;3;220-221;;126-127;0.7043
306;3;219;;132;0.4023
401;3;578-577-205;;;0.5915
402;3;91-92;;148;0.5357
403;3;135-136;;161;0.5813
404;3;648-649;;202-203;0.7007
405;3;213-214;;154-158;0.7167
406;3;147;;145;0.3967
501;3;530-531;;194;0.5327
502;3;89-90;;149;0.5357
503;3;579-580;;216;0.588
504;3;598-647-646;;206-208;0.7657
505;3;210-211;;162-173;0.7107
506;3;141-142;;128;0.4501
601;3;528-529;;195;0.5355
602;3;85-86;;152;0.5353
603;3;573-574;;185;0.5882
604;3;644-645;;211-212;0.7061
605;3;212-235;;163-225;0.7106
606;3;217-218;;139;0.4512
701;3;526-527;;196;0.5357
702;3;81-82;;124;0.539
703;3;506-507;;197;0.5714
704;3;670-671;;220-221;0.6993
705;3;139-140;;155-160;0.7088
706;3;150-151;;165;0.4543
801;3;524-525;;201;0.5327
802;3;79-80;;125;0.5425
803;3;516-517;;210;0.585
804;3;668-669;;214-215;0.7117
805;3;137-138;;157-159;0.709
806;3;508-509;;188;0.4497
901;3;522-523;;200;0.5353
902;3;77-78;;136;0.5347
903;3;564-565;;218;0.5847
904;3;666-667;;207-209;0.7097
905;3;238-239;;151-164;0.7079
906;3;510-511;;587;0.4519
1001;3;520-521;;199;0.5357
1002;3;75-76;;143;0.535
1003;3;568-569;;204;0.5895
1004;3;664-665;;177-191;0.7029
1005;3;236-237;;141-153;0.7069
1006;3;512-513;;123;0.4572
1101;3;518-519;;190;0.5415
1102;3;87-88;;150;0.5357
1103;3;566-567;;189;0.5899
1104;3;662-663;;178-179;0.7102
1105;3;233-234;;137-138;0.7067
1106;3;514-515;;122;0.4537
1201;3;230-231;;142;0.7966
1202;3;227-228;;129-133;0.8056
1203;3;659-660;;174-176;0.9117
1204;3;652-656-657;;180-181;1.1375
1205;3;223-224;;130-131;1.1374
1206;3;215-216;;226-227;0.67109
